,Unnamed: 0,Object_area,Process_name,Hum_days,Process_volume,Final_price,Стоимость ч/ч с налогами
120,120,17659,ОВ2 (воздуховоды),4610,10193,"29 886 532,93","648,24"
121,121,23487,ОВ2 (воздуховоды),5903,13557,"38 264 005,01","648,24"
122,122,28509,ОВ2 (воздуховоды),6469,13490,"41 936 345,80","648,24"
123,123,20924,ОВ2 (воздуховоды),5565,10772,"36 074 212,69","648,24"
124,124,15020,ОВ2 (воздуховоды),3408,7498,"22 094 212,84","648,24"
125,125,24498,ОВ2 (воздуховоды),5440,11847,"35 261 247,65","648,24"
126,126,22795,ОВ2 (воздуховоды),5451,12802,"35 333 879,57","648,24"
127,127,15265,ОВ2 (воздуховоды),3874,7858,"25 110 525,42","648,24"
128,128,13186,ОВ2 (воздуховоды),2863,6857,"18 562 169,34","648,24"
129,129,26296,ОВ2 (воздуховоды),7058,14358,"45 751 783,50","648,24"
130,130,32702,ОВ2 (воздуховоды),8219,18195,"53 276 684,63","648,24"
131,131,31550,ОВ2 (воздуховоды),7082,17554,"45 910 586,75","648,24"
132,132,17246,ОВ2 (воздуховоды),4629,8430,"30 005 904,26","648,24"
133,133,12169,ОВ2 (воздуховоды),2643,6897,"17 130 520,15","648,24"
134,134,25735,ОВ2 (воздуховоды),6405,14319,"41 519 297,49","648,24"
135,135,28292,ОВ2 (воздуховоды),7594,16330,"49 224 576,32","648,24"
136,136,20076,ОВ2 (воздуховоды),4850,10022,"31 436 778,41","648,24"
137,137,12657,ОВ2 (воздуховоды),2934,5923,"19 018 665,39","648,24"
138,138,36645,ОВ2 (воздуховоды),8941,19627,"57 961 601,71","648,24"
139,139,10597,ОВ2 (воздуховоды),2715,5841,"17 599 400,96","648,24"
140,140,23761,ОВ2 (воздуховоды),5450,11614,"35 327 932,36","648,24"
141,141,21314,ОВ2 (воздуховоды),5357,9975,"34 723 847,35","648,24"
142,142,26459,ОВ2 (воздуховоды),7102,12933,"46 035 383,32","648,24"
143,143,32396,ОВ2 (воздуховоды),7905,16172,"51 240 934,62","648,24"
144,144,27883,ОВ2 (воздуховоды),7280,13339,"47 189 886,05","648,24"
145,145,36386,ОВ2 (воздуховоды),8878,16650,"57 551 939,96","648,24"
146,146,35453,ОВ2 (воздуховоды),8824,19357,"57 197 732,81","648,24"
147,147,30016,ОВ2 (воздуховоды),6665,17325,"43 203 592,51","648,24"
148,148,15540,ОВ2 (воздуховоды),3943,7838,"25 562 893,22","648,24"
149,149,31098,ОВ2 (воздуховоды),8119,16818,"52 631 032,40","648,24"
150,150,33645,ОВ2 (воздуховоды),9112,18195,"59 070 298,25","648,24"
151,151,31769,ОВ2 (воздуховоды),8139,15694,"52 761 665,47","648,24"
152,152,29861,ОВ2 (воздуховоды),6776,15217,"43 925 119,16","648,24"
153,153,34724,ОВ2 (воздуховоды),9405,16612,"60 964 691,23","648,24"
154,154,23308,ОВ2 (воздуховоды),5346,12969,"34 654 410,48","648,24"
155,155,36473,ОВ2 (воздуховоды),8009,17638,"51 920 593,51","648,24"
156,156,34971,ОВ2 (воздуховоды),9045,16185,"58 632 656,13","648,24"
157,157,29374,ОВ2 (воздуховоды),7669,16191,"49 713 291,72","648,24"
158,158,28994,ОВ2 (воздуховоды),6862,16585,"44 484 173,00","648,24"
159,159,14453,ОВ2 (воздуховоды),3844,6914,"24 917 826,23","648,24"
160,160,11694,ОВ2 (воздуховоды),3025,5655,"19 606 253,20","648,24"
161,161,27343,ОВ2 (воздуховоды),6472,14076,"41 951 118,93","648,24"
162,162,10895,ОВ2 (воздуховоды),2419,6232,"15 681 741,09","648,24"
163,163,11028,ОВ2 (воздуховоды),2449,5333,"15 873 174,91","648,24"
164,164,12302,ОВ2 (воздуховоды),2972,6461,"19 263 560,87","648,24"
165,165,21548,ОВ2 (воздуховоды),5836,10309,"37 831 677,42","648,24"
166,166,25318,ОВ2 (воздуховоды),6116,11980,"39 645 166,16","648,24"
167,167,26178,ОВ2 (воздуховоды),5813,14974,"37 679 359,17","648,24"
0,0,250,монтаж кабеля ЭОМ на потолке,56,808,"339 090,84","604,44"
1,1,1000,монтаж кабеля ЭОМ на потолке,211,3104,"1 276 577,28","604,44"
2,2,1500,монтаж кабеля ЭОМ на потолке,350,4320,"2 114 331,12","604,44"
3,3,1700,монтаж кабеля ЭОМ на потолке,419,5712,"2 531 878,27","604,44"
4,4,1674,монтаж кабеля ЭОМ на потолке,379,5839,"2 292 812,58","604,44"
5,5,1420,монтаж кабеля ЭОМ на потолке,303,4908,"1 831 622,44","604,44"
6,6,16000,монтаж кабеля ЭОМ на потолке,3590,45056,"21 701 813,76","604,44"
7,7,23000,монтаж кабеля ЭОМ на потолке,5667,76544,"34 254 823,68","604,44"
8,8,19000,монтаж кабеля ЭОМ на потолке,4138,64448,"25 012 936,08","604,44"
9,9,31241,монтаж кабеля ЭОМ на потолке,6186,111968,"37 388 953,88","604,44"
10,10,22091,монтаж кабеля ЭОМ на потолке,4325,74933,"26 144 555,35","604,44"
11,11,29287,монтаж кабеля ЭОМ на потолке,5799,84347,"35 050 423,87","604,44"
12,12,18362,монтаж кабеля ЭОМ на потолке,4282,65809,"25 882 232,02","604,44"
13,13,32540,монтаж кабеля ЭОМ на потолке,7159,116623,"43 270 650,72","604,44"
14,14,22617,монтаж кабеля ЭОМ на потолке,5075,72374,"30 676 870,11","604,44"
15,15,17772,монтаж кабеля ЭОМ на потолке,4301,51752,"25 995 900,59","604,44"
16,16,13450,монтаж кабеля ЭОМ на потолке,2900,43901,"17 527 672,01","604,44"
17,17,30451,монтаж кабеля ЭОМ на потолке,7034,98418,"42 517 403,64","604,44"
18,18,19952,монтаж кабеля ЭОМ на потолке,4653,60654,"28 123 423,00","604,44"
19,19,15876,монтаж кабеля ЭОМ на потолке,3109,45215,"18 789 143,12","604,44"
20,20,35792,монтаж кабеля ЭОМ на потолке,8504,101936,"51 402 660,76","604,44"
21,21,27664,монтаж кабеля ЭОМ на потолке,6147,82328,"37 154 568,97","604,44"
22,22,25901,монтаж кабеля ЭОМ на потолке,5413,87027,"32 720 204,92","604,44"
23,23,36500,монтаж кабеля ЭОМ на потолке,7709,126144,"46 595 070,72","604,44"
24,24,20247,монтаж кабеля ЭОМ на потолке,4365,72565,"26 385 336,44","604,44"
25,25,32279,монтаж кабеля ЭОМ на потолке,6533,114655,"39 489 694,77","604,44"
26,26,31413,монтаж кабеля ЭОМ на потолке,6773,96501,"40 936 562,14","604,44"
27,27,34135,монтаж кабеля ЭОМ на потолке,7360,121248,"44 483 798,07","604,44"
28,28,29741,монтаж кабеля ЭОМ на потолке,6936,87558,"41 921 547,89","604,44"
29,29,16628,монтаж кабеля ЭОМ на потолке,3914,57466,"23 659 179,07","604,44"
30,30,36561,монтаж кабеля ЭОМ на потолке,8848,114655,"53 479 412,63","604,44"
31,31,20837,монтаж кабеля ЭОМ на потолке,4263,67345,"25 768 789,51","604,44"
32,32,11478,монтаж кабеля ЭОМ на потолке,2576,39668,"15 568 338,65","604,44"
33,33,25412,монтаж кабеля ЭОМ на потолке,5814,82132,"35 143 746,99","604,44"
34,34,17846,монтаж кабеля ЭОМ на потолке,3534,57678,"21 357 935,76","604,44"
35,35,11263,монтаж кабеля ЭОМ на потолке,2701,34600,"16 325 122,91","604,44"
36,36,11154,монтаж кабеля ЭОМ на потолке,2699,32124,"16 315 455,50","604,44"
37,37,36949,монтаж кабеля ЭОМ на потолке,7316,106413,"44 220 238,05","604,44"
38,38,14639,монтаж кабеля ЭОМ на потолке,3607,51529,"21 802 450,60","604,44"
39,39,16259,монтаж кабеля ЭОМ на потолке,3148,54630,"19 026 214,16","604,44"
40,40,35208,монтаж кабеля ЭОМ на потолке,7823,110412,"47 286 656,46","604,44"
41,41,18903,монтаж кабеля ЭОМ на потолке,3992,62304,"24 131 140,32","604,44"
42,42,13783,монтаж кабеля ЭОМ на потолке,2668,41900,"16 128 809,26","604,44"
43,43,24107,монтаж кабеля ЭОМ на потолке,5251,69428,"31 736 150,00","604,44"
44,44,30612,монтаж кабеля ЭОМ на потолке,6937,99918,"41 928 063,76","604,44"
45,45,22375,монтаж кабеля ЭОМ на потолке,5119,64440,"30 943 701,36","604,44"
46,46,16873,монтаж кабеля ЭОМ на потолке,3861,56693,"23 334 662,48","604,44"
47,47,23342,монтаж кабеля ЭОМ на потолке,5700,66478,"34 453 783,57","604,44"
48,48,27521,монтаж кабеля ЭОМ на потолке,6055,81022,"36 596 545,13","604,44"
49,49,19818,монтаж кабеля ЭОМ на потолке,4360,60881,"26 353 342,22","604,44"
50,50,10234,монтаж кабеля ЭОМ на потолке,2071,29146,"12 520 138,06","604,44"
51,51,26703,монтаж кабеля ЭОМ на потолке,6345,76905,"38 349 498,50","604,44"
52,52,35879,монтаж кабеля ЭОМ на потолке,7578,114813,"45 802 316,23","604,44"
53,53,13567,монтаж кабеля ЭОМ на потолке,3074,46453,"18 582 191,33","604,44"
54,54,28859,монтаж кабеля ЭОМ на потолке,6730,97890,"40 678 321,19","604,44"
55,55,26597,монтаж кабеля ЭОМ на потолке,5208,82557,"31 477 377,15","604,44"
56,56,30922,монтаж кабеля ЭОМ на потолке,6191,105877,"37 418 368,35","604,44"
57,57,12425,монтаж кабеля ЭОМ на потолке,2734,38567,"16 522 367,40","604,44"
58,58,17010,монтаж кабеля ЭОМ на потолке,3817,53888,"23 071 740,75","604,44"
59,59,24649,монтаж кабеля ЭОМ на потолке,4881,83609,"29 499 706,29","604,44"
60,60,20381,монтаж кабеля ЭОМ на потолке,4753,69785,"28 728 121,70","604,44"
61,61,22461,монтаж кабеля ЭОМ на потолке,5386,71156,"32 556 031,76","604,44"
62,62,17659,монтаж кабеля ЭОМ на потолке,3574,50858,"21 603 783,26","604,44"
63,63,23487,монтаж кабеля ЭОМ на потолке,5012,83426,"30 295 293,19","604,44"
64,64,28509,монтаж кабеля ЭОМ на потолке,6523,99439,"39 426 770,15","604,44"
65,65,20924,монтаж кабеля ЭОМ на потолке,4143,68296,"25 041 659,07","604,44"
66,66,15020,монтаж кабеля ЭОМ на потолке,3073,42777,"18 574 997,28","604,44"
67,67,24498,монтаж кабеля ЭОМ на потолке,5551,77610,"33 553 956,16","604,44"
68,68,22795,монтаж кабеля ЭОМ на потолке,5065,71485,"30 615 182,18","604,44"
69,69,15265,монтаж кабеля ЭОМ на потолке,3190,52267,"19 283 963,09","604,44"
70,70,13186,монтаж кабеля ЭОМ на потолке,2843,39242,"17 183 634,43","604,44"
71,71,26296,монтаж кабеля ЭОМ на потолке,5669,75732,"34 268 227,74","604,44"
72,72,32702,монтаж кабеля ЭОМ на потолке,7626,116158,"46 095 237,52","604,44"
73,73,31550,монтаж кабеля ЭОМ на потолке,6594,89854,"39 856 471,38","604,44"
74,74,17246,монтаж кабеля ЭОМ на потолке,4098,51324,"24 767 833,24","604,44"
75,75,12169,монтаж кабеля ЭОМ на потолке,2811,38551,"16 991 044,13","604,44"
76,76,25735,монтаж кабеля ЭОМ на потолке,5322,87293,"32 168 284,71","604,44"
77,77,28292,монтаж кабеля ЭОМ на потолке,6722,93250,"40 631 539,96","604,44"
78,78,20076,монтаж кабеля ЭОМ на потолке,4240,58461,"25 628 565,47","604,44"
79,79,12657,монтаж кабеля ЭОМ на потолке,2478,36452,"14 979 477,48","604,44"
80,80,36645,монтаж кабеля ЭОМ на потолке,7659,105538,"46 292 880,94","604,44"
81,81,10597,монтаж кабеля ЭОМ на потолке,2308,29841,"13 950 635,98","604,44"
82,82,23761,монтаж кабеля ЭОМ на потолке,5123,67671,"30 964 685,10","604,44"
83,83,21314,монтаж кабеля ЭОМ на потолке,4642,75025,"28 059 248,40","604,44"
84,84,26459,монтаж кабеля ЭОМ на потолке,5821,76202,"35 184 331,51","604,44"
85,85,32396,монтаж кабеля ЭОМ на потолке,6771,109887,"40 925 205,92","604,44"
86,86,27883,монтаж кабеля ЭОМ на потолке,6073,97256,"36 707 141,93","604,44"
87,87,36386,монтаж кабеля ЭОМ на потолке,8565,109449,"51 771 884,14","604,44"
88,88,35453,монтаж кабеля ЭОМ на потолке,8268,121391,"49 972 920,80","604,44"
89,89,30016,монтаж кабеля ЭОМ на потолке,7330,102775,"44 304 891,08","604,44"
90,90,15540,монтаж кабеля ЭОМ на потолке,3385,45252,"20 457 948,77","604,44"
91,91,31098,монтаж кабеля ЭОМ на потолке,7184,90557,"43 420 781,53","604,44"
92,92,33645,монтаж кабеля ЭОМ на потолке,7328,118430,"44 292 643,92","604,44"
93,93,31769,монтаж кабеля ЭОМ на потолке,6640,93528,"40 133 129,61","604,44"
94,94,29861,монтаж кабеля ЭОМ на потолке,6504,84089,"39 311 120,23","604,44"
95,95,34724,монтаж кабеля ЭОМ на потолке,8098,104450,"48 945 355,87","604,44"
96,96,23308,монтаж кабеля ЭОМ на потолке,5282,74586,"31 924 059,52","604,44"
97,97,36473,монтаж кабеля ЭОМ на потолке,8826,103875,"53 350 691,09","604,44"
98,98,34971,монтаж кабеля ЭОМ на потолке,7078,121979,"42 783 051,39","604,44"
99,99,29374,монтаж кабеля ЭОМ на потолке,6979,89297,"42 185 453,65","604,44"
100,100,28994,монтаж кабеля ЭОМ на потолке,6379,93709,"38 555 293,39","604,44"
101,101,14453,монтаж кабеля ЭОМ на потолке,3561,43937,"21 525 433,33","604,44"
102,102,11694,монтаж кабеля ЭОМ на потолке,2727,41537,"16 483 325,41","604,44"
103,103,27343,монтаж кабеля ЭОМ на потолке,6256,84873,"37 814 240,28","604,44"
104,104,10895,монтаж кабеля ЭОМ на потолке,2253,36956,"13 618 553,02","604,44"
105,105,11028,монтаж кабеля ЭОМ на потолке,2208,33172,"13 344 860,17","604,44"
106,106,12302,монтаж кабеля ЭОМ на потолке,2490,40941,"15 050 101,46","604,44"
107,107,21548,монтаж кабеля ЭОМ на потолке,4978,62748,"30 086 532,91","604,44"
108,108,25318,монтаж кабеля ЭОМ на потолке,5459,89119,"32 993 724,90","604,44"
109,109,26178,монтаж кабеля ЭОМ на потолке,5874,87120,"35 506 880,04","604,44"
110,110,15132,монтаж кабеля ЭОМ на потолке,3595,50844,"21 731 813,33","604,44"
111,111,20465,монтаж кабеля ЭОМ на потолке,4232,59594,"25 580 879,99","604,44"
112,112,14074,монтаж кабеля ЭОМ на потолке,3282,49090,"19 838 064,12","604,44"
113,113,20676,монтаж кабеля ЭОМ на потолке,4731,67486,"28 594 054,49","604,44"
114,114,22872,монтаж кабеля ЭОМ на потолке,4982,81973,"30 110 309,16","604,44"
115,115,23635,монтаж кабеля ЭОМ на потолке,5772,83195,"34 886 264,01","604,44"
116,116,19206,монтаж кабеля ЭОМ на потолке,4310,55313,"26 050 314,69","604,44"
117,117,34859,монтаж кабеля ЭОМ на потолке,8129,107087,"49 135 645,67","604,44"
118,118,19058,монтаж кабеля ЭОМ на потолке,3941,54277,"23 822 155,43","604,44"
119,119,27748,монтаж кабеля ЭОМ на потолке,5677,95009,"34 315 514,29","604,44"
120,120,25061,монтаж кабеля ЭОМ на потолке,5789,89017,"34 991 581,64","604,44"
121,121,18538,монтаж кабеля ЭОМ на потолке,4078,54576,"24 651 239,18","604,44"
122,122,27959,монтаж кабеля ЭОМ на потолке,6397,80522,"38 666 142,85","604,44"
123,123,33513,монтаж кабеля ЭОМ на потолке,7594,111531,"45 901 450,43","604,44"
124,124,21013,монтаж кабеля ЭОМ на потолке,4808,73966,"29 060 111,58","604,44"
125,125,36823,монтаж кабеля ЭОМ на потолке,7291,109585,"44 069 442,36","604,44"
126,126,34390,монтаж кабеля ЭОМ на потолке,6961,104546,"42 072 263,80","604,44"
127,127,29798,монтаж кабеля ЭОМ на потолке,6883,92493,"41 605 648,21","604,44"
128,128,21503,монтаж кабеля ЭОМ на потолке,4920,77067,"29 737 761,36","604,44"
129,129,10156,монтаж кабеля ЭОМ на потолке,2257,31524,"13 640 175,05","604,44"
130,130,24022,монтаж кабеля ЭОМ на потолке,5813,78408,"35 138 055,59","604,44"
131,131,18708,монтаж кабеля ЭОМ на потолке,4527,65254,"27 365 029,72","604,44"
132,132,33066,монтаж кабеля ЭОМ на потолке,8075,101579,"48 806 820,64","604,44"
133,133,32188,монтаж кабеля ЭОМ на потолке,6302,96822,"38 094 289,42","604,44"
134,134,22248,монтаж кабеля ЭОМ на потолке,5335,79737,"32 247 299,53","604,44"
135,135,27592,монтаж кабеля ЭОМ на потолке,6799,97124,"41 093 873,69","604,44"
136,136,31170,монтаж кабеля ЭОМ на потолке,7132,90767,"43 106 823,30","604,44"
137,137,32902,монтаж кабеля ЭОМ на потолке,7021,117921,"42 439 465,93","604,44"
138,138,13408,монтаж кабеля ЭОМ на потолке,2950,45909,"17 829 529,34","604,44"
139,139,26993,монтаж кабеля ЭОМ на потолке,6354,88969,"38 407 037,56","604,44"
140,140,27206,монтаж кабеля ЭОМ на потолке,5626,78353,"34 007 008,12","604,44"
141,141,12049,монтаж кабеля ЭОМ на потолке,2810,37400,"16 983 717,11","604,44"
142,142,19299,монтаж кабеля ЭОМ на потолке,4288,64227,"25 919 824,56","604,44"
143,143,33880,монтаж кабеля ЭОМ на потолке,7379,117089,"44 602 014,44","604,44"
144,144,12792,монтаж кабеля ЭОМ на потолке,2983,38888,"18 031 015,79","604,44"
145,145,11807,монтаж кабеля ЭОМ на потолке,2909,33626,"17 584 639,27","604,44"
146,146,23849,монтаж кабеля ЭОМ на потолке,5667,80133,"34 250 727,99","604,44"
147,147,25989,монтаж кабеля ЭОМ на потолке,6175,74848,"37 324 087,80","604,44"
148,148,31102,монтаж кабеля ЭОМ на потолке,6363,101517,"38 463 353,23","604,44"
149,149,18100,монтаж кабеля ЭОМ на потолке,4181,58499,"25 272 240,84","604,44"
150,150,21431,монтаж кабеля ЭОМ на потолке,4196,62407,"25 363 449,63","604,44"
151,151,22551,монтаж кабеля ЭОМ на потолке,4664,72885,"28 188 342,28","604,44"
